age,grade_level,sex,time_on_visuals,audio_replay_count,drag_and_drop_actions,puzzle_attempts,help_button_clicks,time_to_completion,preferred_instruction_type,task_skips,interaction_rate,learning_style
12,Junior Secondary School 3,Male,45.23978032,5,12,7,0,104.7203262,text,1,45.03043781,Kinesthetic
12,Junior Secondary School 3,Male,55.25100622,2,1,1,0,190.0162794,text,0,16.03043017,Logical
11,Junior Secondary School 1,Male,60.27954241,0,6,1,0,251.9587095,text,0,17.93801823,Logical
4,Nursery,Female,73.22165923,1,5,2,1,157.6090886,animation,0,25.29595887,Visual
8,Primary 3,Female,85.61794579,2,1,3,1,96.83292861,animation,0,29.29968161,Visual
10,Primary 5,Female,47.02492723,1,6,2,0,232.4175243,text,0,12.70830163,Logical
7,Primary 2,Female,42.18645073,3,13,6,0,165.2668879,animation,1,44.32336248,Kinesthetic
12,Junior Secondary School 3,Female,76.69210618,1,3,2,0,135.4766693,animation,0,43.83614755,Visual
10,Primary 5,Male,65.84431837,2,5,2,0,185.8868281,text,0,20.94592319,Logical
11,Junior Secondary School 2,Male,51.84608164,2,11,7,0,102.3013344,text,1,42.6603489,Kinesthetic
8,Primary 4,Female,58.75051386,2,2,2,0,166.1135661,text,0,17.78731432,Logical
12,Junior Secondary School 3,Female,29.78382045,6,4,5,2,160.6059802,audio,0,25.40944645,Auditory
5,Primary 1,Female,52.36683775,2,10,5,0,176.6665379,animation,0,39.3547365,Kinesthetic
12,Junior Secondary School 2,Male,86.64193591,0,5,4,1,151.7502763,text,1,29.26629811,Visual
4,Nursery,Male,65.58847329,0,6,1,0,120.4098134,text,0,20.45087104,Logical
8,Primary 3,Male,44.18846642,0,9,4,1,118.1325841,animation,1,47.78921291,Kinesthetic
9,Primary 4,Male,66.82278271,1,10,6,0,130.6184819,text,0,44.72336398,Kinesthetic
6,Primary 2,Female,58.52569177,0,6,2,0,209.6538704,text,0,21.82273251,Logical
12,Junior Secondary School 2,Female,94.4450201,2,1,4,1,153.8736766,text,1,35.75737767,Visual
9,Primary 5,Female,61.36185784,1,6,1,0,226.6160672,text,0,19.58651294,Logical
5,Nursery,Male,36.14586314,6,1,4,1,194.8155631,audio,0,38.1716387,Auditory
10,Primary 5,Male,27.52321855,5,4,3,2,137.6003608,audio,0,21.911548,Auditory
8,Primary 4,Male,26.16405838,7,4,5,2,170.5164464,audio,1,29.34870143,Auditory
10,Junior Secondary School 1,Female,46.38351979,1,3,5,1,183.1795727,audio,1,22.16443219,Auditory
12,Junior Secondary School 3,Female,51.23535923,3,6,1,0,192.8184336,text,0,21.75824002,Logical
7,Primary 2,Female,75.20308981,2,2,3,1,158.3078943,animation,1,28.1350577,Visual
5,Primary 1,Female,61.13237856,1,3,1,0,182.9084082,text,0,19.28504961,Logical
5,Primary 1,Female,69.22128021,0,1,3,1,157.2251368,animation,0,34.20272357,Visual
12,Junior Secondary School 3,Male,50.87048601,0,5,2,0,146.6287419,text,0,18.58358897,Logical
7,Primary 3,Male,82.01995704,1,6,2,1,165.029951,animation,0,29.31831606,Visual
12,Junior Secondary School 3,Female,27.68104324,1,6,7,0,98.18865031,animation,0,37.41851416,Kinesthetic
12,Junior Secondary School 3,Male,79.91369172,1,4,4,1,158.2745587,animation,1,29.45687606,Visual
8,Primary 4,Female,99.79175048,3,3,4,1,145.9723869,text,0,30.59919915,Visual
5,Primary 1,Male,47.32829077,9,3,5,1,190.9921219,audio,0,24.07617226,Auditory
9,Primary 4,Female,50.92737627,6,4,3,1,115.1347867,audio,1,25.85342915,Auditory
12,Junior Secondary School 3,Male,93.14423972,3,3,4,0,135.9934567,text,1,26.52343995,Visual
4,Nursery,Female,64.39629228,0,2,2,0,149.8971761,text,0,16.94970895,Logical
4,Nursery,Male,95.66322975,1,3,3,1,157.6863253,animation,1,31.91792278,Visual
12,Junior Secondary School 2,Female,39.45521789,4,16,5,1,98.60154795,animation,0,40.08361088,Kinesthetic
10,Primary 5,Male,60.00956602,0,1,1,0,175.7754421,text,0,24.85836591,Logical
10,Primary 5,Female,31.57319638,2,0,5,1,158.5303926,audio,1,26.85197327,Auditory
12,Junior Secondary School 3,Male,39.69821785,1,2,1,0,205.5980842,text,0,18.15237509,Logical
9,Primary 5,Female,93.95828175,1,5,2,1,132.4491743,animation,0,33.03917322,Visual
10,Primary 5,Male,21.4060582,8,3,4,2,173.1304545,audio,1,23.13145066,Auditory
12,Junior Secondary School 2,Male,88.86766112,0,1,2,1,111.1874044,text,0,33.09261986,Visual
8,Primary 4,Male,44.13982152,5,1,3,2,189.7987342,audio,1,29.6384699,Auditory
11,Junior Secondary School 2,Female,87.18668125,0,6,3,0,135.6459539,animation,1,34.64816662,Visual
5,Nursery,Male,47.96403785,1,6,1,0,159.1582871,text,0,19.27358339,Logical
4,Nursery,Male,83.53797491,0,3,3,1,150.4325173,text,1,25.49700417,Visual
5,Primary 1,Male,69.06182294,0,9,2,0,186.999953,text,0,19.0191581,Logical
6,Primary 1,Female,50.81041094,1,12,6,1,90.46950137,text,1,39.16161162,Kinesthetic
5,Primary 1,Female,46.83852382,1,0,5,2,152.733257,audio,0,27.81606161,Auditory
7,Primary 2,Female,105.4133439,3,5,2,1,144.8077735,animation,0,28.99230936,Visual
10,Junior Secondary School 1,Male,48.53684875,0,6,1,0,130.1041012,text,0,19.45586106,Logical
10,Primary 5,Male,73.60760136,1,3,2,0,215.6360108,text,0,17.44759952,Logical
7,Primary 3,Female,56.27968267,1,8,1,0,171.3571937,text,0,18.07634214,Logical
12,Junior Secondary School 2,Female,65.50799425,1,6,1,0,211.5261435,text,0,19.60836011,Logical
9,Primary 4,Male,84.26600001,2,1,4,0,158.7070306,text,1,30.70039228,Visual
9,Primary 5,Male,81.52058007,0,3,2,0,149.1144416,animation,1,31.31782762,Visual
7,Primary 3,Female,45.4483034,1,2,5,1,200.6487573,audio,1,25.92422157,Auditory
11,Junior Secondary School 2,Male,89.71179548,1,1,4,0,151.6295509,animation,0,32.21496353,Visual
