age,time_on_visuals,audio_replay_count,drag_and_drop_actions,puzzle_attempts,help_button_clicks,time_to_completion,task_skips,interaction_rate,grade_level_Junior Secondary School 2,grade_level_Junior Secondary School 3,grade_level_Nursery,grade_level_Primary 1,grade_level_Primary 2,grade_level_Primary 3,grade_level_Primary 4,grade_level_Primary 5,sex_Male,preferred_instruction_type_audio,preferred_instruction_type_text,learning_style_Kinesthetic,learning_style_Logical,learning_style_Visual
12,45.23978032,5,12,7,0,104.7203262,1,45.03043781,False,True,False,False,False,False,False,False,True,False,True,True,False,False
12,55.25100622,2,1,1,0,190.0162794,0,16.03043017,False,True,False,False,False,False,False,False,True,False,True,False,True,False
11,60.27954241,0,6,1,0,251.9587095,0,17.93801823,False,False,False,False,False,False,False,False,True,False,True,False,True,False
4,73.22165923,1,5,2,1,157.6090886,0,25.29595887,False,False,True,False,False,False,False,False,False,False,False,False,False,True
8,85.61794579,2,1,3,1,96.83292861,0,29.29968161,False,False,False,False,False,True,False,False,False,False,False,False,False,True
10,47.02492723,1,6,2,0,232.4175243,0,12.70830163,False,False,False,False,False,False,False,True,False,False,True,False,True,False
7,42.18645073,3,13,6,0,165.2668879,1,44.32336248,False,False,False,False,True,False,False,False,False,False,False,True,False,False
12,76.69210618,1,3,2,0,135.4766693,0,43.83614755,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10,65.84431837,2,5,2,0,185.8868281,0,20.94592319,False,False,False,False,False,False,False,True,True,False,True,False,True,False
11,51.84608164,2,11,7,0,102.3013344,1,42.6603489,True,False,False,False,False,False,False,False,True,False,True,True,False,False
8,58.75051386,2,2,2,0,166.1135661,0,17.78731432,False,False,False,False,False,False,True,False,False,False,True,False,True,False
12,29.78382045,6,4,5,2,160.6059802,0,25.40944645,False,True,False,False,False,False,False,False,False,True,False,False,False,False
5,52.36683775,2,10,5,0,176.6665379,0,39.3547365,False,False,False,True,False,False,False,False,False,False,False,True,False,False
12,86.64193591,0,5,4,1,151.7502763,1,29.26629811,True,False,False,False,False,False,False,False,True,False,True,False,False,True
4,65.58847329,0,6,1,0,120.4098134,0,20.45087104,False,False,True,False,False,False,False,False,True,False,True,False,True,False
8,44.18846642,0,9,4,1,118.1325841,1,47.78921291,False,False,False,False,False,True,False,False,True,False,False,True,False,False
9,66.82278271,1,10,6,0,130.6184819,0,44.72336398,False,False,False,False,False,False,True,False,True,False,True,True,False,False
